municipio,uf,ng
Água Limpa,GO,18
Águas Lindas de Goiás,GO,14
Afonso Cunha,MA,12
Alcântara,MA,8
Aldeias Altas,MA,12
Altamira do Maranhão,MA,12
Alto Alegre do Maranhão,MA,14
Alto Alegre do Pindaré,MA,12
Alto Parnaíba,MA,20
Amapá do Maranhão,MA,6
Amarante do Maranhão,MA,10
Anajatuba,MA,18
Anapurus,MA,14
Apicum-Açu,MA,2
Araguanã,MA,12
Araioses,MA,6
Arame,MA,8
Arari,MA,18
Axixá,MA,12
Açailândia,MA,12
Bacabal,MA,16
Bacabeira,MA,16
Bacuri,MA,4
Bacurituba,MA,12
Balsas,MA,22
Barra do Corda,MA,8
Barreirinhas,MA,8
Barão de Grajaú,MA,10
Bela Vista do Maranhão,MA,12
Belágua,MA,6
Benedito Leite,MA,12
Bequimão,MA,8
Bernardo do Mearim,MA,12
Boa Vista do Gurupi,MA,10
Bom Jardim,MA,12
Bom Jesus das Selvas,MA,6
Bom Lugar,MA,16
Brejo,MA,20
Brejo de Areia,MA,10
Buriti,MA,20
Buriti Bravo,MA,8
Buriticupu,MA,10
Buritirana,MA,12
Cachoeira Grande,MA,12
Cajapió,MA,18
Cajari,MA,16
Campestre do Maranhão,MA,12
Cantanhede,MA,16
Capinzal do Norte,MA,14
Carolina,MA,18
Carutapera,MA,6
Caxias,MA,14
Cedral,MA,2
Central do Maranhão,MA,4
Centro Novo do Maranhão,MA,16
Centro do Guilherme,MA,14
Chapadinha,MA,14
Cidelândia,MA,14
Codó,MA,14
Coelho Neto,MA,16
Colinas,MA,8
Conceição do Lago-Açu,MA,16
Coroatá,MA,14
Cururupu,MA,2
Cândido Mendes,MA,6
Davinópolis,MA,12
Dom Pedro,MA,10
Duque Bacelar,MA,18
Esperantinópolis,MA,10
Estreito,MA,16
Feira Nova do Maranhão,MA,14
Fernando Falcão,MA,8
Formosa da Serra Negra,MA,10
Fortaleza dos Nogueiras,MA,10
Fortuna,MA,10
Godofredo Viana,MA,4
Gonçalves Dias,MA,12
Governador Archer,MA,12
Governador Edison Lobão,MA,14
Governador Eugênio Barros,MA,10
Governador Luiz Rocha,MA,10
Governador Newton Bello,MA,12
Governador Nunes Freire,MA,8
Grajaú,MA,8
Graça Aranha,MA,8
Guimarães,MA,2
Humberto de Campos,MA,6
Icatu,MA,10
Igarapé Grande,MA,14
Igarapé do Meio,MA,16
Imperatriz,MA,14
Itaipava do Grajaú,MA,6
Itapecuru Mirim,MA,18
Itinga do Maranhão,MA,10
Jatobá,MA,8
Jenipapo dos Vieiras,MA,6
Joselândia,MA,10
João Lisboa,MA,12
Junco do Maranhão,MA,10
Lago Verde,MA,14
Lago da Pedra,MA,14
Lago do Junco,MA,14
Lago dos Rodrigues,MA,14
Lagoa Grande do Maranhão,MA,8
Lagoa do Mato,MA,8
Lajeado Novo,MA,12
Lima Campos,MA,12
Loreto,MA,10
Luís Domingues,MA,4
Magalhães de Almeida,MA,10
Maracaçumé,MA,10
Marajá do Sena,MA,10
Maranhãozinho,MA,12
Mata Roma,MA,12
Matinha,MA,16
Matões,MA,10
Matões do Norte,MA,16
Milagres do Maranhão,MA,16
Mirador,MA,8
Miranda do Norte,MA,18
Mirinzal,MA,4
Montes Altos,MA,14
Monção,MA,16
Morros,MA,10
Nina Rodrigues,MA,10
Nova Colinas,MA,10
Nova Iorque,MA,10
Nova Olinda do Maranhão,MA,12
Olho d’Água das Cunhãs,MA,16
Olinda Nova do Maranhão,MA,14
Palmeirândia,MA,10
Paraibano,MA,10
Parnarama,MA,10
Passagem Franca,MA,10
Pastos Bons,MA,10
Paulino Neves,MA,6
Paulo Ramos,MA,14
Paço do Lumiar,MA,6
Pedreiras,MA,12
Pedro do Rosário,MA,12
Penalva,MA,14
Peri Mirim,MA,8
Peritoró,MA,14
Pindaré-Mirim,MA,14
Pinheiro,MA,10
Pio XII,MA,14
Pirapemas,MA,14
Porto Franco,MA,12
Porto Rico do Maranhão,MA,2
Poção de Pedras,MA,12
Presidente Dutra,MA,10
Presidente Juscelino,MA,12
Presidente Médici,MA,8
Presidente Sarney,MA,10
Presidente Vargas,MA,12
Primeira Cruz,MA,6
Raposa,MA,6
Riachão,MA,16
Ribamar Fiquene,MA,14
Rosário,MA,14
Sambaíba,MA,10
Santa Filomena do Maranhão,MA,8
Santa Helena,MA,10
Santa Inês,MA,12
Santa Luzia,MA,12
Santa Luzia do Paruá,MA,10
Santa Quitéria do Maranhão,MA,16
Santa Rita,MA,18
Santana do Maranhão,MA,12
Santo Amaro do Maranhão,MA,4
Santo Antônio dos Lopes,MA,12
Satubinha,MA,14
Senador Alexandre Costa,MA,10
Senador La Rocque,MA,12
Serrano do Maranhão,MA,4
Sucupira do Norte,MA,8
Sucupira do Riachão,MA,10
São Benedito do Rio Preto,MA,10
São Bento,MA,12
São Bernardo,MA,12
São Domingos do Azeitão,MA,6
São Domingos do Maranhão,MA,8
São Francisco do Brejão,MA,12
São Francisco do Maranhão,MA,8
São Félix de Balsas,MA,10
São José de Ribamar,MA,8
São José dos Basílios,MA,10
São João Batista,MA,18
São João do Carú,MA,10
São João do Paraíso,MA,14
São João do Soter,MA,12
São João dos Patos,MA,10
São Luís,MA,12
São Luís Gonzaga do Maranhão,MA,14
São Mateus do Maranhão,MA,14
São Pedro da Água Branca,MA,14
São Pedro dos Crentes,MA,16
São Raimundo das Mangabeiras,MA,10
São Raimundo do Doca Bezerra,MA,6
São Roberto,MA,6
São Vicente Ferrer,MA,14
Sítio Novo,MA,10
Tasso Fragoso,MA,14
Timbiras,MA,14
Timon,MA,10
Trizidela do Vale,MA,12
Tufilândia,MA,12
Tuntum,MA,8
Turiaçu,MA,6
Turilândia,MA,6
Tutoia,MA,8
Urbano Santos,MA,8
Vargem Grande,MA,12
Viana,MA,18
Vila Nova dos Martírios,MA,14
Vitorino Freire,MA,16
Vitória do Mearim,MA,16
Zé Doca,MA,12
Água Doce do Maranhão,MA,4
Abadia dos Dourados,MG,12
Abaeté,MG,14
Abre Campo,MG,10
Acaiaca,MG,14
Aguanil,MG,12
Aimorés,MG,8
Aiuruoca,MG,20
Alagoa,MG,20
Albertina,MG,14
Alfenas,MG,10
Alfredo Vasconcelos,MG,20
Almenara,MG,8
Alpercata,MG,10
Alpinópolis,MG,14
Alterosa,MG,12
Alto Caparaó,MG,12
Alto Jequitibá,MG,12
Alto Rio Doce,MG,20
Alvarenga,MG,8
Alvinópolis,MG,18
Alvorada de Minas,MG,14
Além Paraíba,MG,20
Amparo do Serra,MG,10
Andradas,MG,14
Andrelândia,MG,20
Angelândia,MG,8
Antônio Carlos,MG,26
Antônio Dias,MG,16
Antônio Prado de Minas,MG,14
Aracitaba,MG,22
Araguari,MG,14
Arantina,MG,22
Araponga,MG,10
Araporã,MG,16
Arapuá,MG,10
Araxá,MG,14
Araçaí,MG,10
Araçuaí,MG,8
Araújos,MG,12
Arceburgo,MG,16
Arcos,MG,14
Areado,MG,10
Argirita,MG,20
Aricanduva,MG,8
Arinos,MG,14
Astolfo Dutra,MG,16
Ataleia,MG,10
Augusto de Lima,MG,10
Açucena,MG,16
Baependi,MG,16
Baldim,MG,10
Bambuí,MG,14
Bandeira,MG,6
Bandeira do Sul,MG,12
Barbacena,MG,20
Barra Longa,MG,18
Barroso,MG,18
Barão de Cocais,MG,14
Barão de Monte Alto,MG,16
Bela Vista de Minas,MG,16
Belmiro Braga,MG,30
Belo Horizonte,MG,14
Belo Oriente,MG,12
Belo Vale,MG,16
Berilo,MG,6
Berizal,MG,6
Bertópolis,MG,6
Betim,MG,12
Bias Fortes,MG,28
Bicas,MG,24
Biquinhas,MG,12
Boa Esperança,MG,12
Bocaina de Minas,MG,28
Bocaiúva,MG,10
Bom Despacho,MG,14
Bom Jardim de Minas,MG,26
Bom Jesus da Penha,MG,16
Bom Jesus do Amparo,MG,14
Bom Jesus do Galho,MG,12
Bom Repouso,MG,14
Bom Sucesso,MG,10
Bonfim,MG,12
Bonfinópolis de Minas,MG,12
Bonito de Minas,MG,10
Borda da Mata,MG,14
Botelhos,MG,12
Botumirim,MG,8
Brasilândia de Minas,MG,12
Brasília de Minas,MG,10
Brazópolis,MG,14
Braúnas,MG,16
Brumadinho,MG,14
Brás Pires,MG,18
Bueno Brandão,MG,14
Buenópolis,MG,10
Bugre,MG,10
Buritis,MG,16
Buritizeiro,MG,14
Cabeceira Grande,MG,14
Cabo Verde,MG,12
Cachoeira Dourada,MG,16
Cachoeira da Prata,MG,10
Cachoeira de Minas,MG,12
Cachoeira de Pajeú,MG,8
Caetanópolis,MG,10
Caeté,MG,14
Caiana,MG,14
Cajuri,MG,12
Caldas,MG,14
Camacho,MG,12
Camanducaia,MG,18
Cambuquira,MG,12
Cambuí,MG,14
Campanha,MG,12
Campanário,MG,10
Campestre,MG,12
Campina Verde,MG,20
Campo Azul,MG,10
Campo Belo,MG,12
Campo Florido,MG,16
Campo do Meio,MG,10
Campos Altos,MG,14
Campos Gerais,MG,10
Cana Verde,MG,12
Canaã,MG,10
Candeias,MG,12
Cantagalo,MG,12
Canápolis,MG,18
Caparaó,MG,12
Capela Nova,MG,20
Capelinha,MG,8
Capetinga,MG,14
Capim Branco,MG,10
Capinópolis,MG,14
Capitão Andrade,MG,8
Capitão Enéas,MG,8
Capitólio,MG,14
Caputira,MG,10
Caranaíba,MG,20
Carandaí,MG,20
Carangola,MG,14
Caratinga,MG,12
Caraí,MG,6
Carbonita,MG,8
Careaçu,MG,12
Carlos Chagas,MG,8
Carmo da Cachoeira,MG,14
Carmo da Mata,MG,10
Carmo de Minas,MG,10
Carmo do Cajuru,MG,10
Carmo do Paranaíba,MG,14
Carmo do Rio Claro,MG,12
Carmésia,MG,16
Carmópolis de Minas,MG,10
Carneirinho,MG,16
Carrancas,MG,12
Carvalhos,MG,22
Carvalhópolis,MG,12
Casa Grande,MG,16
Cascalho Rico,MG,12
Cataguases,MG,18
Catas Altas,MG,18
Catas Altas da Noruega,MG,18
Catuji,MG,6
Catuti,MG,10
Caxambu,MG,12
Cedro do Abaeté,MG,12
Central de Minas,MG,8
Centralina,MG,18
Chalé,MG,12
Chapada Gaúcha,MG,14
Chapada do Norte,MG,6
Chiador,MG,22
Chácara,MG,28
Cipotânea,MG,18
Claraval,MG,12
Claro dos Poções,MG,8
Cláudio,MG,10
Coimbra,MG,12
Coluna,MG,12
Comendador Gomes,MG,20
Comercinho,MG,6
Conceição da Aparecida,MG,12
Conceição da Barra de Minas,MG,12
Conceição das Alagoas,MG,16
Conceição das Pedras,MG,10
Conceição de Ipanema,MG,12
Conceição do Mato Dentro,MG,16
Conceição do Pará,MG,10
Conceição do Rio Verde,MG,12
Conceição dos Ouros,MG,12
Confins,MG,10
Congonhal,MG,14
Congonhas,MG,18
Congonhas do Norte,MG,12
Conquista,MG,14
Conselheiro Lafaiete,MG,20
Conselheiro Pena,MG,8
Consolação,MG,14
Contagem,MG,12
Coqueiral,MG,12
Coração de Jesus,MG,10
Cordisburgo,MG,10
Cordislândia,MG,12
Corinto,MG,10
Coroaci,MG,14
Coromandel,MG,12
Coronel Fabriciano,MG,14
Coronel Murta,MG,8
Coronel Pacheco,MG,28
Coronel Xavier Chaves,MG,16
Couto de Magalhães de Minas,MG,12
Cristais,MG,12
Cristiano Otoni,MG,18
Cristina,MG,10
Cristália,MG,8
Crisólita,MG,8
Crucilândia,MG,12
Cruzeiro da Fortaleza,MG,14
Cruzília,MG,14
Cuparaque,MG,8
Curral de Dentro,MG,6
Curvelo,MG,10
Cássia,MG,16
Córrego Danta,MG,12
Córrego Fundo,MG,14
Córrego Novo,MG,12
Córrego do Bom Jesus,MG,14
Cônego Marinho,MG,10
Datas,MG,12
Delfim Moreira,MG,14
Delfinópolis,MG,18
Delta,MG,16
Descoberto,MG,18
Desterro de Entre Rios,MG,14
Desterro do Melo,MG,20
Diamantina,MG,10
Diogo de Vasconcelos,MG,16
Dionísio,MG,16
Divino,MG,12
Divino das Laranjeiras,MG,10
Divinolândia de Minas,MG,16
Divinésia,MG,14
Divinópolis,MG,12
Divisa Alegre,MG,6
Divisa Nova,MG,10
Divisópolis,MG,6
Dom Bosco,MG,10
Dom Cavati,MG,8
Dom Joaquim,MG,16
Dom Silvério,MG,18
Dom Viçoso,MG,12
Dona Euzébia,MG,16
Dores de Campos,MG,18
Dores de Guanhães,MG,16
Dores do Indaiá,MG,14
Dores do Turvo,MG,16
Doresópolis,MG,14
Douradoquara,MG,12
Durandé,MG,12
Elói Mendes,MG,12
Engenheiro Caldas,MG,10
Engenheiro Navarro,MG,8
Entre Folhas,MG,10
Entre Rios de Minas,MG,16
Ervália,MG,12
Esmeraldas,MG,10
Espera Feliz,MG,14
Espinosa,MG,8
Espírito Santo do Dourado,MG,14
Estiva,MG,12
Estrela Dalva,MG,18
Estrela do Indaiá,MG,12
Estrela do Sul,MG,10
Eugenópolis,MG,14
Ewbank da Câmara,MG,30
Extrema,MG,16
Fama,MG,10
Faria Lemos,MG,14
Felisburgo,MG,6
Felixlândia,MG,10
Felício dos Santos,MG,12
Fernandes Tourinho,MG,10
Ferros,MG,16
Fervedouro,MG,10
Florestal,MG,10
Formiga,MG,14
Formoso,MG,16
Fortaleza de Minas,MG,14
Fortuna de Minas,MG,10
Francisco Badaró,MG,6
Francisco Dumont,MG,10
Francisco Sá,MG,8
Franciscópolis,MG,8
Frei Gaspar,MG,10
Frei Inocêncio,MG,10
Frei Lagonegro,MG,10
Fronteira,MG,18
Fronteira dos Vales,MG,6
Fruta de Leite,MG,8
Frutal,MG,20
Funilândia,MG,10
Galileia,MG,8
Gameleiras,MG,10
Glaucilândia,MG,8
Goiabeira,MG,8
Goianá,MG,24
Gonzaga,MG,16
Gonçalves,MG,16
Gouveia,MG,12
Governador Valadares,MG,14
Grupiara,MG,12
Grão Mogol,MG,8
Guanhães,MG,16
Guapé,MG,12
Guaraciaba,MG,14
Guaraciama,MG,8
Guarani,MG,18
Guaranésia,MG,16
Guarará,MG,24
Guarda-Mor,MG,14
Guaxupé,MG,14
Guidoval,MG,14
Guimarânia,MG,14
Guiricema,MG,12
Gurinhatã,MG,16
Heliodora,MG,10
Iapu,MG,10
Ibertioga,MG,22
Ibiaí,MG,12
Ibiracatu,MG,8
Ibiraci,MG,14
Ibirité,MG,12
Ibitiúra de Minas,MG,14
Ibituruna,MG,10
Ibiá,MG,14
Icaraí de Minas,MG,10
Igarapé,MG,10
Igaratinga,MG,10
Iguatama,MG,14
Ijaci,MG,12
Ilicínea,MG,12
Imbé de Minas,MG,8
Inconfidentes,MG,14
Indaiabira,MG,6
Indianópolis,MG,10
Ingaí,MG,14
Inhapim,MG,8
Inhaúma,MG,10
Inimutaba,MG,10
Ipaba,MG,10
Ipanema,MG,10
Ipatinga,MG,12
Ipiaçu,MG,14
Ipuiúna,MG,14
Iraí de Minas,MG,12
Itabira,MG,16
Itabirinha,MG,10
Itabirito,MG,16
Itacambira,MG,8
Itacarambi,MG,10
Itaguara,MG,12
Itaipé,MG,8
Itajubá,MG,12
Itamarandiba,MG,12
Itamarati de Minas,MG,18
Itambacuri,MG,10
Itambé do Mato Dentro,MG,16
Itamogi,MG,16
Itamonte,MG,20
Itanhandu,MG,16
Itanhomi,MG,8
Itaobim,MG,6
Itapagipe,MG,20
Itapecerica,MG,14
Itapeva,MG,16
Itatiaiuçu,MG,10
Itaverava,MG,20
Itaú de Minas,MG,14
Itaúna,MG,10
Itinga,MG,8
Itueta,MG,8
Ituiutaba,MG,18
Itumirim,MG,12
Iturama,MG,16
Itutinga,MG,12
Jaboticatubas,MG,14
Jacinto,MG,8
Jacutinga,MG,14
Jacuí,MG,16
Jaguaraçu,MG,14
Jampruca,MG,10
Janaúba,MG,10
Januária,MG,12
Japaraíba,MG,14
Japonvar,MG,8
Jaíba,MG,10
Jeceaba,MG,16
Jenipapo de Minas,MG,6
Jequeri,MG,10
Jequitaí,MG,10
Jequitibá,MG,10
Jequitinhonha,MG,6
Jesuânia,MG,10
Joanésia,MG,14
Joaquim Felício,MG,10
Joaíma,MG,6
Jordânia,MG,6
Josenópolis,MG,8
José Gonçalves de Minas,MG,6
José Raydan,MG,10
João Monlevade,MG,16
João Pinheiro,MG,14
Juatuba,MG,10
Juiz de Fora,MG,30
Juramento,MG,8
Juruaia,MG,14
Juvenília,MG,10
Ladainha,MG,8
Lagamar,MG,12
Lagoa Dourada,MG,16
Lagoa Formosa,MG,14
Lagoa Grande,MG,10
Lagoa Santa,MG,10
Lagoa da Prata,MG,14
Lagoa dos Patos,MG,12
Lajinha,MG,12
Lambari,MG,10
Lamim,MG,18
Laranjal,MG,16
Lassance,MG,10
Lavras,MG,14
Leandro Ferreira,MG,12
Leme do Prado,MG,6
Leopoldina,MG,20
Liberdade,MG,26
Lima Duarte,MG,30
Limeira do Oeste,MG,12
Lontra,MG,8
Luisburgo,MG,12
Luislândia,MG,10
Luminárias,MG,14
Luz,MG,14
Machacalis,MG,8
Machado,MG,12
Madre de Deus de Minas,MG,14
Malacacheta,MG,8
Mamonas,MG,8
Manga,MG,10
Manhuaçu,MG,12
Manhumirim,MG,12
Mantena,MG,8
Mar de Espanha,MG,24
Maravilhas,MG,10
Maria da Fé,MG,12
Mariana,MG,18
Marilac,MG,12
Maripá de Minas,MG,22
Marliéria,MG,14
Marmelópolis,MG,14
Martinho Campos,MG,14
Martins Soares,MG,12
Mata Verde,MG,6
Materlândia,MG,14
Mateus Leme,MG,10
Mathias Lobato,MG,10
Matias Barbosa,MG,30
Matias Cardoso,MG,8
Matipó,MG,10
Mato Verde,MG,10
Matozinhos,MG,10
Matutina,MG,10
Medeiros,MG,14
Medina,MG,6
Mendes Pimentel,MG,8
Mercês,MG,20
Mesquita,MG,14
Minas Novas,MG,6
Minduri,MG,14
Mirabela,MG,8
Miradouro,MG,12
Miravânia,MG,10
Miraí,MG,14
Moeda,MG,16
Moema,MG,12
Monjolos,MG,10
Monsenhor Paulo,MG,12
Montalvânia,MG,8
Monte Alegre de Minas,MG,20
Monte Azul,MG,10
Monte Belo,MG,12
Monte Carmelo,MG,12
Monte Formoso,MG,6
Monte Santo de Minas,MG,16
Monte Sião,MG,14
Montes Claros,MG,8
Montezuma,MG,6
Morada Nova de Minas,MG,14
Morro da Garça,MG,10
Morro do Pilar,MG,14
Munhoz,MG,14
Muriaé,MG,16
Mutum,MG,12
Muzambinho,MG,14
Mário Campos,MG,12
Nacip Raydan,MG,12
Nanuque,MG,6
Naque,MG,10
Natalândia,MG,12
Natércia,MG,10
Nazareno,MG,10
Nepomuceno,MG,14
Ninheira,MG,4
Nova Belém,MG,8
Nova Era,MG,16
Nova Lima,MG,14
Nova Módica,MG,10
Nova Ponte,MG,14
Nova Porteirinha,MG,8
Nova Resende,MG,14
Nova Serrana,MG,10
Nova União,MG,12
Novo Cruzeiro,MG,8
Novo Oriente de Minas,MG,6
Novorizonte,MG,6
Olaria,MG,28
Olhos-d’Água,MG,10
Oliveira,MG,12
Oliveira Fortes,MG,20
Olímpio Noronha,MG,10
Onça de Pitangui,MG,10
Oratórios,MG,10
Orizânia,MG,10
Ouro Branco,MG,20
Ouro Fino,MG,14
Ouro Preto,MG,18
Ouro Verde de Minas,MG,10
Padre Carvalho,MG,6
Padre Paraíso,MG,6
Pai Pedro,MG,10
Paineiras,MG,12
Pains,MG,14
Paiva,MG,20
Palma,MG,18
Palmópolis,MG,6
Papagaios,MG,10
Paracatu,MG,14
Paraguaçu,MG,10
Paraisópolis,MG,16
Paraopeba,MG,10
Pará de Minas,MG,10
Passa Quatro,MG,16
Passa Tempo,MG,14
Passa Vinte,MG,30
Passabém,MG,16
Passos,MG,16
Patis,MG,8
Patos de Minas,MG,14
Patrocínio,MG,14
Patrocínio do Muriaé,MG,14
Paula Cândido,MG,14
Paulistas,MG,14
Pavão,MG,8
Pedra Azul,MG,8
Pedra Bonita,MG,10
Pedra Dourada,MG,12
Pedra do Anta,MG,10
Pedra do Indaiá,MG,14
Pedralva,MG,10
Pedras de Maria da Cruz,MG,10
Pedrinópolis,MG,12
Pedro Leopoldo,MG,10
Pedro Teixeira,MG,30
Pequeri,MG,24
Pequi,MG,10
Perdigão,MG,10
Perdizes,MG,16
Perdões,MG,12
Periquito,MG,12
Pescador,MG,10
Peçanha,MG,14
Piau,MG,28
Piedade de Caratinga,MG,8
Piedade de Ponte Nova,MG,12
Piedade do Rio Grande,MG,16
Piedade dos Gerais,MG,14
Pimenta,MG,14
Pingo-d’Água,MG,12
Pintópolis,MG,12
Piracema,MG,14
Pirajuba,MG,16
Piranga,MG,18
Piranguinho,MG,12
Piranguçu,MG,14
Pirapetinga,MG,18
Pirapora,MG,12
Piraúba,MG,16
Pitangui,MG,10
Piumhi,MG,12
Planura,MG,16
Pocrane,MG,8
Pompéu,MG,10
Ponte Nova,MG,14
Ponto Chique,MG,12
Ponto dos Volantes,MG,6
Porteirinha,MG,10
Porto Firme,MG,14
Poté,MG,8
Pouso Alegre,MG,14
Pouso Alto,MG,14
Poço Fundo,MG,12
Poços de Caldas,MG,14
Prados,MG,16
Prata,MG,20
Pratinha,MG,14
Pratápolis,MG,14
Presidente Bernardes,MG,16
Presidente Juscelino,MG,10
Presidente Kubitschek,MG,12
Presidente Olegário,MG,14
Prudente de Morais,MG,10
Quartel Geral,MG,14
Queluzito,MG,18
Raposos,MG,14
Raul Soares,MG,12
Recreio,MG,18
Reduto,MG,12
Resende Costa,MG,14
Resplendor,MG,8
Ressaquinha,MG,20
Riachinho,MG,12
Riacho dos Machados,MG,8
Ribeirão Vermelho,MG,12
Ribeirão das Neves,MG,12
Rio Acima,MG,16
Rio Casca,MG,14
Rio Doce,MG,16
Rio Espera,MG,18
Rio Manso,MG,12
Rio Novo,MG,22
Rio Paranaíba,MG,12
Rio Pardo de Minas,MG,8
Rio Piracicaba,MG,18
Rio Pomba,MG,18
Rio Preto,MG,30
Rio Vermelho,MG,14
Rio do Prado,MG,6
Ritápolis,MG,14
Rochedo de Minas,MG,22
Rodeiro,MG,14
Romaria,MG,12
Rosário da Limeira,MG,12
Rubelita,MG,8
Rubim,MG,8
Sabará,MG,14
Sabinópolis,MG,14
Sacramento,MG,18
Salinas,MG,6
Salto da Divisa,MG,6
Santa Bárbara,MG,18
Santa Bárbara do Leste,MG,8
Santa Bárbara do Monte Verde,MG,30
Santa Bárbara do Tugúrio,MG,20
Santa Cruz de Minas,MG,14
Santa Cruz de Salinas,MG,6
Santa Cruz do Escalvado,MG,14
Santa Efigênia de Minas,MG,16
Santa Fé de Minas,MG,12
Santa Helena de Minas,MG,6
Santa Juliana,MG,14
Santa Luzia,MG,12
Santa Margarida,MG,10
Santa Maria de Itabira,MG,16
Santa Maria do Salto,MG,6
Santa Maria do Suaçuí,MG,10
Santa Rita de Caldas,MG,14
Santa Rita de Ibitipoca,MG,24
Santa Rita de Jacutinga,MG,30
Santa Rita de Minas,MG,8
Santa Rita do Itueto,MG,8
Santa Rita do Sapucaí,MG,12
Santa Rosa da Serra,MG,12
Santa Vitória,MG,14
Santana da Vargem,MG,12
Santana de Cataguases,MG,16
Santana de Pirapama,MG,12
Santana do Deserto,MG,26
Santana do Garambéu,MG,22
Santana do Jacaré,MG,12
Santana do Manhuaçu,MG,12
Santana do Paraíso,MG,12
Santana do Riacho,MG,12
Santana dos Montes,MG,20
Santo Antônio do Amparo,MG,10
Santo Antônio do Aventureiro,MG,20
Santo Antônio do Grama,MG,10
Santo Antônio do Itambé,MG,14
Santo Antônio do Jacinto,MG,8
Santo Antônio do Monte,MG,14
Santo Antônio do Retiro,MG,6
Santo Antônio do Rio Abaixo,MG,16
Santo Hipólito,MG,10
Santos Dumont,MG,28
Sapucaí-Mirim,MG,18
Sardoá,MG,14
Sarzedo,MG,12
Sem-Peixe,MG,16
Senador Amaral,MG,14
Senador Cortes,MG,22
Senador Firmino,MG,16
Senador José Bento,MG,14
Senador Modestino Gonçalves,MG,10
Senhora de Oliveira,MG,18
Senhora do Porto,MG,16
Senhora dos Remédios,MG,20
Sericita,MG,10
Seritinga,MG,20
Serra Azul de Minas,MG,14
Serra da Saudade,MG,12
Serra do Salitre,MG,12
Serra dos Aimorés,MG,6
Serrania,MG,10
Serranos,MG,18
Serranópolis de Minas,MG,8
Serro,MG,14
Sete Lagoas,MG,10
Setubinha,MG,8
Silveirânia,MG,18
Silvianópolis,MG,14
Simonésia,MG,10
Simão Pereira,MG,28
Sobrália,MG,10
Soledade de Minas,MG,12
São Bento Abade,MG,14
São Brás do Suaçuí,MG,16
São Domingos das Dores,MG,8
São Domingos do Prata,MG,18
São Francisco,MG,12
São Francisco de Paula,MG,12
São Francisco de Sales,MG,16
São Francisco do Glória,MG,12
São Félix de Minas,MG,10
São Geraldo,MG,14
São Geraldo da Piedade,MG,14
São Geraldo do Baixio,MG,8
São Gonçalo do Abaeté,MG,16
São Gonçalo do Pará,MG,10
São Gonçalo do Rio Abaixo,MG,16
São Gonçalo do Rio Preto,MG,10
São Gonçalo do Sapucaí,MG,12
São Gotardo,MG,12
São Joaquim de Bicas,MG,12
São José da Barra,MG,12
São José da Lapa,MG,10
São José da Safira,MG,10
São José da Varginha,MG,10
São José do Alegre,MG,12
São José do Divino,MG,10
São José do Goiabal,MG,14
São José do Jacuri,MG,12
São José do Mantimento,MG,12
São João Batista do Glória,MG,16
São João Evangelista,MG,14
São João Nepomuceno,MG,24
São João da Lagoa,MG,10
São João da Mata,MG,14
São João da Ponte,MG,8
São João das Missões,MG,10
São João del Rei,MG,16
São João do Manhuaçu,MG,12
São João do Manteninha,MG,8
São João do Oriente,MG,8
São João do Pacuí,MG,10
São João do Paraíso,MG,6
São Lourenço,MG,12
São Miguel do Anta,MG,10
São Pedro da União,MG,14
São Pedro do Suaçuí,MG,12
São Pedro dos Ferros,MG,12
São Romão,MG,10
São Roque de Minas,MG,18
São Sebastião da Bela Vista,MG,12
São Sebastião da Vargem Alegre,MG,12
São Sebastião do Anta,MG,8
São Sebastião do Maranhão,MG,10
São Sebastião do Oeste,MG,12
São Sebastião do Paraíso,MG,16
São Sebastião do Rio Preto,MG,16
São Sebastião do Rio Verde,MG,12
São Tiago,MG,12
São Tomás de Aquino,MG,16
São Tomé das Letras,MG,14
São Vicente de Minas,MG,14
Tabuleiro,MG,22
Taiobeiras,MG,6
Taparuba,MG,10
Tapira,MG,16
Tapiraí,MG,14
Taquaraçu de Minas,MG,12
Tarumirim,MG,8
Teixeiras,MG,12
Teófilo Otoni,MG,10
Timóteo,MG,14
Tiradentes,MG,16
Tiros,MG,14
Tocantins,MG,16
Tocos do Moji,MG,12
Toledo,MG,14
Tombos,MG,14
Três Corações,MG,14
Três Marias,MG,14
Três Pontas,MG,14
Tumiritinga,MG,8
Tupaciguara,MG,18
Turmalina,MG,8
Turvolândia,MG,12
Ubaporanga,MG,8
Ubaí,MG,10
Uberaba,MG,16
Uberlândia,MG,20
Ubá,MG,14
Umburatiba,MG,8
Unaí,MG,14
União de Minas,MG,14
Uruana de Minas,MG,10
Urucuia,MG,14
Urucânia,MG,12
Vargem Alegre,MG,12
Vargem Bonita,MG,16
Vargem Grande do Rio Pardo,MG,6
Varginha,MG,14
Varjão de Minas,MG,16
Varzelândia,MG,8
Vazante,MG,12
Verdelândia,MG,10
Veredinha,MG,8
Vermelho Novo,MG,10
Veríssimo,MG,16
Vespasiano,MG,12
Vieiras,MG,12
Virgem da Lapa,MG,8
Virginópolis,MG,16
Virgolândia,MG,12
Virgínia,MG,14
Visconde do Rio Branco,MG,14
Viçosa,MG,12
Volta Grande,MG,18
Várzea da Palma,MG,10
Wenceslau Braz,MG,14
Água Boa,MG,10
Água Comprida,MG,16
Águas Formosas,MG,8
Águas Vermelhas,MG,6
Alcinópolis,MS,24
Amambai,MS,24
Anastácio,MS,22
